Inventory_list_LivingSport05-08-21,,,,,,,
,,,,,,,
LivingSport SKU no.,EAN / GS1,Description,Quantity,Next arrival,Comment,GW KG,Brand
400-216076,5055436115076,Reebok Resistance Tube Med. DELTA Studio,0,8/30/21,,0.2,REEBOK
400-216077,5055436115083,Reebok Resistance Tube Heavy DELTA Studi,0,,,0.2,REEBOK
400-220003,5055436104599,Reebok Rack for Tubes GREY Studio,18,,,19,REEBOK
610-000100,5701000091726,TITAN LIFE Resistance Tube. Level Hard Black,300,12/3/21,,0,TITAN LIFE
610-000101,5701000091702,TITAN LIFE Resistance Tube. Level Light Black,1,12/3/21,,0,TITAN LIFE
610-000102,5701000091689,TITAN LIFE Resistance Tube. Level Medium BLack,985,12/3/21,,0,TITAN LIFE
Handweights,,,,,,,
270-000137,5701000205949,Vægtsæt 60 kg - 4 colli,0,8/2/22,,0,TITAN LIFE
400-211066,5055436113812,Reebok Dumbbell Hex 30kg Studio,1,,,30.1,REEBOK
400-211069,5055436112006,Reebok Dumbbell Hex 45kg Studio,3,,,45.1,REEBOK
400-216051,5055436115212,Reebok Handweight 1kg DELTA Studio,20,,,1.2,REEBOK
400-800062,5701000073104,UDGÅET - TITAN LIFE Balance  & Weight Board,0,,,0,TITAN LIFE
400-800618,5701000101234,TITAN LIFE PRO Dumbbell 18kg PU BLUE,0,,,0,TITAN LIFE
400-800622,5701000101258,TITAN LIFE PRO Dumbbell 22kg PU BLUE,2,,,0,TITAN LIFE
400-800626,5701000101272,TITAN LIFE PRO Dumbbell 26kg PU BLUE,14,,,0,TITAN LIFE
400-800628,5701000101289,TITAN LIFE PRO Dumbbell 28kg PU BLUE,0,,,0,TITAN LIFE
400-800630,5701000101296,TITAN LIFE PRO Dumbbell 30kg PU BLUE,11,,,0,TITAN LIFE
400-800632,5701000101302,TITAN LIFE PRO Dumbbell 32kg PU BLUE,23,,,0,TITAN LIFE
400-800636,5701000101326,TITAN LIFE PRO Dumbbell 36kg PU BLUE,11,,,0,TITAN LIFE
400-800638,5701000101333,TITAN LIFE PRO Dumbbell 38kg PU BLUE,15,,,0,TITAN LIFE
400-800640,5701000101340,TITAN LIFE PRO Dumbbell 40kg PU BLUE,24,,,0,TITAN LIFE
400-800642,5701000101364,TITAN LIFE PRO Dumbbell 42kg PU BLUE,14,,,0,TITAN LIFE
400-800644,5701000101371,TITAN LIFE PRO Dumbbell 44kg PU BLUE,14,,,0,TITAN LIFE
400-800646,5701000101388,TITAN LIFE PRO Dumbbell 46kg PU BLUE,11,,,0,TITAN LIFE
400-800648,5701000101395,TITAN LIFE PRO Dumbbell 48kg PU BLUE,9,,,0,TITAN LIFE
400-800650,5701000101401,TITAN LIFE PRO Dumbbell 50kg PU BLUE,6,,,0,TITAN LIFE
610-000021,5701000093843,20kg Pro Håndvægt,1,,,0,TITAN LIFE
610-000025,5701000093881,24kg Pro Håndvægt,1,,,0,TITAN LIFE
610-000031,5701000093829,2kg Pro Håndvægt,12,,,0,TITAN LIFE
610-000036,5701000093980,34kg Pro Håndvægt,1,,,0,TITAN LIFE
610-000040,5701000093584,TITAN LIFE Aerobic Handwight 3 kg,5,,,0,TITAN LIFE
610-000041,5701000094062,40kg Pro Håndvægt,3,,,0,TITAN LIFE
610-000043,5701000094109,44kg Pro Håndvægt,2,,,0,TITAN LIFE
610-000047,5701000093607,TITAN LIFE Aerobic Handweight 4 kg,21,,,0,TITAN LIFE
610-000048,5701000094048,4kg Pro Håndvægt,2,,,0,TITAN LIFE
610-000112,5701000094864,TITAN LIFE Dumbbell 20 kg. 1 pcs. Adjustable/con,0,10/4/21,,0,TITAN LIFE
610-000154,5701000085282,"UDGÅET - TITAN LIFE Handweight Pow 2,5 - 24kg",62,,,0,TITAN LIFE
610-000670,5701000095625,"Stativ til håndvægte, aerobic",14,,,0,TITAN LIFE
Storage rack,,,,,,,
400-216330,5055436115359,Reebok Rack for dumbbell DELTA,1,,,42,REEBOK
610-000088,5701000095960,Barbell Rack,8,,,0,TITAN LIFE
610-000279,5701000095649,Dumbbell Rack / Stativ til håndvægte 10 par,6,,,0,TITAN LIFE
610-000664,5701000095786,Stativ til 10 sæt håndvægte,1,,,0,TITAN LIFE
610-000671,5701000089945,Stativ til håndvægte (uden vægte!),3,,,0,TITAN LIFE
610-000745,5701000097445,Vægbeslag til måtte,1,,,0,TITAN LIFE
610-000783,5701000099227,Rack for 5 sets of MD2108,0,,,0,TITAN LIFE
Pump,,,,,,,
400-211093,5055436104650,"Reebok Rep set discs 2x1,25kg Studio, 30mm",39,,,2.5,REEBOK
400-211600,885652011778,Reebok Rep Set 20kg DELTA 25mm,524,,,0,REEBOK
400-211601,885652011785,"Reebok Rep Discs 1,25kg set of 2 DELTA 25mm",126,,,0,REEBOK
400-211602,885652011792,"Reebok Rep Discs 2,5kg set of 2 DELTA 25mm",123,,,0,REEBOK
